Student Number,Name,Section,Grade,Date,Family,FD,Friends,FFD,Personal &  Health,PD,Academic / School,AD,Career,CD,Remarks,Recommendations,Others
,Clara W. Bautista,Agatha,Grade 1,2025-07-13,parent-child misunderstanding,,peer pressure,,gender confusion,,learning difficulties,,undecided,,,conference with parent/guardian,
,Javier P. Santos,Alexander,Grade 6,2025-07-14,financial discomfort,,adjustment difficulties,,poor health,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Isabel R. De La Cruz,Maxwell,Grade 3,2025-07-15,sibling rivalry,,boy-girl relationship,,low self-esteem,,laziness,,confusion,,,for assessment,
,Samuel K. Morales,Bernadette,Grade 2,2025-07-16,lack of quality time,,incompatibilities,,psychological disturbances,,difficult subjects,,parents choice,,,for follow-up,
,Nina J. Herrera,St. Nicholas,Kinder,2025-07-17,parental pressure,,mistrust,,physical disabilities,,failing marks,,change of interest,,,conference with parent/guardian,
,Josefa Y. Garcia,BS-IT,1st Year,2025-07-18,sibling rivalry,,bullying,,stress,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,Bernardo S. Rodriguez,Margaret,Grade 4,2025-07-19,financial discomfort,,peer pressure,,hospitalization,,transition to school life,,no identified career,,,for assessment,
,Teresita F. Mendoza,BS-TM,2nd Year,2025-07-20,parent-child misunderstanding,,adjustment difficulties,,gender confusion,,learning difficulties,,confusion,,,for follow-up,
,Manuel E. Villanueva,Magdalene,Grade 5,2025-07-21,lack of quality time,,boy-girl relationship,,poor health,,teacher/s,,parents choice,,,conference with parent/guardian,
,Patricia H. Torres,Alexander,Grade 6,2025-07-22,parental pressure,,incompatibilities,,low self-esteem,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Eduardo L. Lopez,Agatha,Grade 1,2025-07-23,parent-child misunderstanding,,mistrust,,psychological disturbances,,difficult subjects,,undecided,,,for assessment,
,Lucia M. De Guzman,BS-Ed ENGLISH,3rd Year,2025-07-24,financial discomfort,,bullying,,physical disabilities,,failing marks,,no identified career,,,for follow-up,
,Victor N. Ramos,BEED,4th Year,2025-07-25,sibling rivalry,,peer pressure,,stress,,misbehavior,,confusion,,,conference with parent/guardian,
,Dina Q. Reyes,Bernadette,Grade 2,2025-07-26,lack of quality time,,adjustment difficulties,,hospitalization,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Mario D. Reyes,Maxwell,Grade 3,2025-07-27,parental pressure,,boy-girl relationship,,gender confusion,,learning difficulties,,change of interest,,,for assessment,
,Monica E. Santos,St. Nicholas,Kinder,2025-07-28,lack of quality time,,incompatibilities,,poor health,,teacher/s,,undecided,,,for follow-up,
,Antonio M. Fernandez,Alexander,Grade 6,2025-07-29,sibling rivalry,,mistrust,,low self-esteem,,laziness,,no identified career,,,conference with parent/guardian,
,Adela R. Bautista,Margaret,Grade 4,2025-07-30,parent-child misunderstanding,,bullying,,psychological disturbances,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Eduardo P. Gutierrez,BS-IT,1st Year,2025-07-31,financial discomfort,,peer pressure,,physical disabilities,,failing marks,,parents choice,,,for assessment,
,Rosalinda F. Lopez,BS-TM,2nd Year,2025-08-01,parental pressure,,adjustment difficulties,,stress,,misbehavior,,change of interest,,,for follow-up,
,Felipe G. Ramirez,BS-Ed ENGLISH,3rd Year,2025-08-02,parent-child misunderstanding,,boy-girl relationship,,hospitalization,,transition to school life,,undecided,,,conference with parent/guardian,
,Camila S. Cruz,Magdalene,Grade 5,2025-08-03,financial discomfort,,incompatibilities,,gender confusion,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Jovita B. Aquino,Agatha,Grade 1,2025-08-04,sibling rivalry,,mistrust,,poor health,,teacher/s,,confusion,,,for assessment,
,Manuel R. De Guzman,Bernadette,Grade 2,2025-08-05,lack of quality time,,bullying,,low self-esteem,,laziness,,parents choice,,,for follow-up,
,Ricardo L. Valdez,Margaret,Grade 4,2025-08-06,parental pressure,,peer pressure,,psychological disturbances,,difficult subjects,,change of interest,,,conference with parent/guardian,
,Raquel J. Mendoza,Alexander,Grade 6,2025-08-07,sibling rivalry,,adjustment difficulties,,physical disabilities,,failing marks,,undecided,,,conference with adviser/subject teacher,
,Carlos S. Navarro,BS-IT,1st Year,2025-08-08,financial discomfort,,boy-girl relationship,,stress,,misbehavior,,no identified career,,,for assessment,
,Sofia A. Dela Cruz,Maxwell,Grade 3,2025-08-09,parent-child misunderstanding,,incompatibilities,,hospitalization,,transition to school life,,confusion,,,for follow-up,
,Santiago T. Aquino,St. Nicholas,Kinder,2025-08-10,lack of quality time,,mistrust,,gender confusion,,learning difficulties,,parents choice,,,conference with parent/guardian,
,Luciano F. Bautista,BS-TM,2nd Year,2025-08-11,parental pressure,,bullying,,poor health,,teacher/s,,change of interest,,,conference with adviser/subject teacher,
,Esther G. De La Cruz,Magdalene,Grade 5,2025-08-12,parent-child misunderstanding,,peer pressure,,low self-esteem,,laziness,,undecided,,,for assessment,
,Bernardo P. Ramos,Agatha,Grade 1,2025-08-13,financial discomfort,,adjustment difficulties,,psychological disturbances,,difficult subjects,,no identified career,,,for follow-up,
,Jessica B. Villanueva,Bernadette,Grade 2,2025-08-14,sibling rivalry,,boy-girl relationship,,physical disabilities,,failing marks,,confusion,,,conference with parent/guardian,
,Antonio S. Lopez,BS-Ed ENGLISH,3rd Year,2025-08-15,lack of quality time,,incompatibilities,,stress,,misbehavior,,parents choice,,,conference with adviser/subject teacher,
,Clarissa R. De Guzman,BEED,4th Year,2025-08-16,parental pressure,,mistrust,,hospitalization,,transition to school life,,change of interest,,,for assessment,
,Victor P. Morales,St. Nicholas,Kinder,2025-08-17,lack of quality time,,bullying,,gender confusion,,learning difficulties,,undecided,,,for follow-up,
,Angelina C. Torres,BS-IT,1st Year,2025-08-18,sibling rivalry,,peer pressure,,poor health,,teacher/s,,no identified career,,,conference with parent/guardian,
,Romulo T. Aguilar,Margaret,Grade 4,2025-08-19,parent-child misunderstanding,,adjustment difficulties,,low self-esteem,,laziness,,confusion,,,conference with adviser/subject teacher,
,Marina L. Palacios,Alexander,Grade 6,2025-08-20,financial discomfort,,boy-girl relationship,,psychological disturbances,,difficult subjects,,parents choice,,,for assessment,
,Eduardo N. Santos,Maxwell,Grade 3,2025-08-21,parental pressure,,incompatibilities,,physical disabilities,,failing marks,,change of interest,,,for follow-up,
,Diana M. Rodriguez,Bernadette,Grade 2,2025-08-22,parent-child misunderstanding,,mistrust,,stress,,misbehavior,,undecided,,,conference with parent/guardian,
,Carlos J. Villanueva,BS-TM,2nd Year,2025-08-23,financial discomfort,,bullying,,hospitalization,,transition to school life,,no identified career,,,conference with adviser/subject teacher,
,Beatriz S. De La Cruz,Magdalene,Grade 5,2025-08-24,sibling rivalry,,peer pressure,,gender confusion,,learning difficulties,,confusion,,,for assessment,
,Ricardo H. Ramirez,BS-Ed ENGLISH,3rd Year,2025-08-25,lack of quality time,,adjustment difficulties,,poor health,,teacher/s,,parents choice,,,for follow-up,
,Tomas K. Gutierrez,BEED,4th Year,2025-08-26,parental pressure,,boy-girl relationship,,low self-esteem,,laziness,,change of interest,,,conference with parent/guardian,
,Cynthia M. Bautista,St. Nicholas,Kinder,2025-08-27,sibling rivalry,,incompatibilities,,psychological disturbances,,difficult subjects,,undecided,,,conference with adviser/subject teacher,
,Luis B. Cruz,Agatha,Grade 1,2025-08-28,financial discomfort,,mistrust,,physical disabilities,,failing marks,,no identified career,,,for assessment,
,Clara N. Lopez,Bernadette,Grade 2,2025-08-29,parent-child misunderstanding,,bullying,,stress,,misbehavior,,confusion,,,for follow-up,
,Hector P. Valdez,Magdalene,Grade 5,2025-08-30,lack of quality time,,peer pressure,,hospitalization,,transition to school life,,parents choice,,,conference with parent/guardian,
,Samantha T. Santos,BS-IT,1st Year,2025-08-31,parental pressure,,adjustment difficulties,,gender confusion,,learning difficulties,,change of interest,,,conference with adviser/subject teacher,
,Emilio M. De Guzman,Maxwell,Grade 3,2025-09-01,parent-child misunderstanding,,boy-girl relationship,,poor health,,teacher/s,,undecided,,,for assessment,
,Gloria A. Aquino,Alexander,Grade 6,2025-09-02,financial discomfort,,incompatibilities,,low self-esteem,,laziness,,no identified career,,,for follow-up,
,Victor G. Navarro,BS-TM,2nd Year,2025-09-03,sibling rivalry,,mistrust,,psychological disturbances,,difficult subjects,,confusion,,,conference with parent/guardian,
,Amelia J. Mendoza,BS-Ed ENGLISH,3rd Year,2025-09-04,lack of quality time,,bullying,,physical disabilities,,failing marks,,parents choice,,,conference with adviser/subject teacher,
,Julian N. Dela Cruz,BEED,4th Year,2025-09-05,parental pressure,,peer pressure,,stress,,misbehavior,,change of interest,,,for assessment,
,Pablo M. Reyes,St. Nicholas,Kinder,2025-09-06,lack of quality time,,adjustment difficulties,,hospitalization,,transition to school life,,undecided,,,for follow-up,
,Cesar A. Villanueva,Magdalene,Grade 5,2025-09-07,sibling rivalry,,boy-girl relationship,,gender confusion,,learning difficulties,,no identified career,,,conference with parent/guardian,
,Jessica P. Bautista,Bernadette,Grade 2,2025-09-08,parent-child misunderstanding,,incompatibilities,,poor health,,teacher/s,,confusion,,,conference with adviser/subject teacher,
,Andres R. Rodriguez,Margaret,Grade 4,2025-09-09,financial discomfort,,mistrust,,low self-esteem,,laziness,,parents choice,,,for assessment,
,Marilyn T. Lopez,BS-IT,1st Year,2025-09-10,parental pressure,,bullying,,psychological disturbances,,difficult subjects,,change of interest,,,for follow-up,
,Rafael E. Cruz,Alexander,Grade 6,2025-09-11,parent-child misunderstanding,,peer pressure,,physical disabilities,,failing marks,,undecided,,,conference with parent/guardian,
,Carmen S. Palacios,BS-Ed ENGLISH,3rd Year,2025-09-12,financial discomfort,,adjustment difficulties,,stress,,misbehavior,,no identified career,,,conference with adviser/subject teacher,
,Gregorio F. Ramirez,BS-TM,2nd Year,2025-09-13,sibling rivalry,,boy-girl relationship,,hospitalization,,transition to school life,,confusion,,,for assessment,
,Teresita N. Bautista,BEED,4th Year,2025-09-14,lack of quality time,,incompatibilities,,gender confusion,,learning difficulties,,parents choice,,,for follow-up,
,Renato P. Aquino,Agatha,Grade 1,2025-09-15,parental pressure,,mistrust,,poor health,,teacher/s,,change of interest,,,conference with parent/guardian,
,Maria Teresa A. Reyes,Bernadette,Grade 2,2025-09-16,sibling rivalry,,bullying,,low self-esteem,,laziness,,undecided,,,conference with adviser/subject teacher,
,Gilbert R. Dela Cruz,St. Nicholas,Kinder,2025-09-17,financial discomfort,,peer pressure,,psychological disturbances,,difficult subjects,,no identified career,,,for assessment,
,Cecilia J. Valdez,Maxwell,Grade 3,2025-09-18,parent-child misunderstanding,,adjustment difficulties,,physical disabilities,,failing marks,,confusion,,,for follow-up,
,Luis V. Lopez,Margaret,Grade 4,2025-09-19,lack of quality time,,boy-girl relationship,,stress,,misbehavior,,parents choice,,,conference with parent/guardian,
,Darlene T. Rodriguez,BS-IT,1st Year,2025-09-20,parental pressure,,incompatibilities,,hospitalization,,transition to school life,,change of interest,,,conference with adviser/subject teacher,
,Enrico M. Aquino,BS-TM,2nd Year,2025-09-21,parent-child misunderstanding,,mistrust,,gender confusion,,learning difficulties,,undecided,,,for assessment,
,Raul D. Santos,BS-Ed ENGLISH,3rd Year,2025-09-22,financial discomfort,,bullying,,poor health,,teacher/s,,no identified career,,,for follow-up,
,Marilyn J. Villanueva,Magdalene,Grade 5,2025-09-23,sibling rivalry,,peer pressure,,low self-esteem,,laziness,,confusion,,,conference with parent/guardian,
,Fernando S. Cruz,Alexander,Grade 6,2025-09-24,lack of quality time,,adjustment difficulties,,psychological disturbances,,difficult subjects,,parents choice,,,conference with adviser/subject teacher,
,Lydia M. Palacios,BEED,4th Year,2025-09-25,parental pressure,,boy-girl relationship,,physical disabilities,,failing marks,,change of interest,,,for assessment,
,Antonio R. Bautista,Bernadette,Grade 2,2025-09-26,lack of quality time,,incompatibilities,,stress,,misbehavior,,undecided,,,for follow-up,
,Elizabeth V. Dela Cruz,Margaret,Grade 4,2025-09-27,sibling rivalry,,mistrust,,hospitalization,,transition to school life,,no identified career,,,conference with parent/guardian,
,Alfredo P. Mendoza,Maxwell,Grade 3,2025-09-28,parent-child misunderstanding,,bullying,,gender confusion,,learning difficulties,,confusion,,,conference with adviser/subject teacher,
,Valentina T. Ramirez,St. Nicholas,Kinder,2025-09-29,financial discomfort,,peer pressure,,poor health,,teacher/s,,parents choice,,,for assessment,
,Victor M. Lopez,BS-IT,1st Year,2025-09-30,parental pressure,,adjustment difficulties,,low self-esteem,,laziness,,change of interest,,,for follow-up,
,Susana F. Villanueva,BS-TM,2nd Year,2025-10-01,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,difficult subjects,,undecided,,,conference with parent/guardian,
,Juan T. De Guzman,BS-Ed ENGLISH,3rd Year,2025-10-02,financial discomfort,,incompatibilities,,physical disabilities,,failing marks,,no identified career,,,conference with adviser/subject teacher,
,Liza R. Santos,BEED,4th Year,2025-10-03,sibling rivalry,,mistrust,,stress,,misbehavior,,confusion,,,for assessment,
,Francisco E. Ramos,Magdalene,Grade 5,2025-10-04,lack of quality time,,bullying,,hospitalization,,transition to school life,,parents choice,,,for follow-up,
,Renato S. Cruz,Alexander,Grade 6,2025-10-05,parental pressure,,peer pressure,,gender confusion,,learning difficulties,,change of interest,,,conference with parent/guardian,
,Vicky J. Bautista,Agatha,Grade 1,2025-10-06,sibling rivalry,,adjustment difficulties,,poor health,,teacher/s,,undecided,,,conference with adviser/subject teacher,
,Eduardo L. Valdez,St. Nicholas,Kinder,2025-10-07,financial discomfort,,boy-girl relationship,,low self-esteem,,laziness,,no identified career,,,for assessment,
,Beatriz P. Dela Cruz,Bernadette,Grade 2,2025-10-08,parent-child misunderstanding,,incompatibilities,,psychological disturbances,,difficult subjects,,confusion,,,for follow-up,
,Antonio T. Mendoza,BS-IT,1st Year,2025-10-09,lack of quality time,,mistrust,,physical disabilities,,failing marks,,parents choice,,,conference with parent/guardian,
,Lorena M. Villanueva,BS-TM,2nd Year,2025-10-10,parental pressure,,bullying,,stress,,misbehavior,,change of interest,,,conference with adviser/subject teacher,
,Mario G. Aquino,BS-Ed ENGLISH,3rd Year,2025-10-11,parent-child misunderstanding,,peer pressure,,hospitalization,,transition to school life,,undecided,,,for assessment,
,Ana T. Ramirez,BEED,4th Year,2025-10-12,financial discomfort,,adjustment difficulties,,gender confusion,,learning difficulties,,no identified career,,,for follow-up,
,Pilar E. Lopez,Maxwell,Grade 3,2025-10-13,sibling rivalry,,boy-girl relationship,,poor health,,teacher/s,,confusion,,,conference with parent/guardian,
,Carmen V. Dela Cruz,Margaret,Grade 4,2025-10-14,lack of quality time,,incompatibilities,,low self-esteem,,laziness,,parents choice,,,conference with adviser/subject teacher,
,Fernando M. Villanueva,Magdalene,Grade 5,2025-10-15,parental pressure,,mistrust,,psychological disturbances,,difficult subjects,,change of interest,,,for assessment,
,Jose L. Palacios,Alexander,Grade 6,2025-10-16,lack of quality time,,bullying,,physical disabilities,,failing marks,,undecided,,,for follow-up,
,Esteban G. Reyes,St. Nicholas,Kinder,2025-10-17,sibling rivalry,,peer pressure,,stress,,misbehavior,,no identified career,,,conference with parent/guardian,
,Nina T. Aquino,Agatha,Grade 1,2025-10-18,parent-child misunderstanding,,adjustment difficulties,,hospitalization,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Julio J. Ramirez,BS-TM,2nd Year,2025-10-19,financial discomfort,,boy-girl relationship,,gender confusion,,learning difficulties,,parents choice,,,for assessment,
,Benedicta V. Santos,BS-Ed ENGLISH,3rd Year,2025-10-20,parental pressure,,incompatibilities,,poor health,,teacher/s,,change of interest,,,for follow-up,
,Carlos L. Lopez,BS-IT,1st Year,2025-10-21,parent-child misunderstanding,,mistrust,,low self-esteem,,laziness,,undecided,,,conference with parent/guardian,
,Veronica P. De La Cruz,Bernadette,Grade 2,2025-10-22,financial discomfort,,bullying,,psychological disturbances,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Roberto G. Mendoza,BEED,4th Year,2025-10-23,sibling rivalry,,peer pressure,,physical disabilities,,failing marks,,confusion,,,for assessment,
,Angelina M. Bautista,Maxwell,Grade 3,2025-10-24,lack of quality time,,adjustment difficulties,,stress,,misbehavior,,parents choice,,,for follow-up,
,Juanita V. Aquino,Magdalene,Grade 5,2025-10-25,parental pressure,,boy-girl relationship,,hospitalization,,transition to school life,,change of interest,,,conference with parent/guardian,
,Ramiro F. Palacios,St. Nicholas,Kinder,2025-10-26,sibling rivalry,,incompatibilities,,gender confusion,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Patricia K. Reyes,BS-IT,1st Year,2025-10-27,financial discomfort,,mistrust,,poor health,,teacher/s,,no identified career,,,for assessment,
,Julio M. Lopez,Margaret,Grade 4,2025-10-28,parent-child misunderstanding,,bullying,,low self-esteem,,laziness,,confusion,,,for follow-up,
,Cynthia A. Santos,Alexander,Grade 6,2025-10-29,lack of quality time,,peer pressure,,psychological disturbances,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Nelson P. Dela Cruz,Agatha,Grade 1,2025-10-30,parental pressure,,adjustment difficulties,,physical disabilities,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Mercedes G. Aquino,BS-TM,2nd Year,2025-10-31,parent-child misunderstanding,,boy-girl relationship,,stress,,misbehavior,,undecided,,,for assessment,
,Manuel S. Ramirez,BS-Ed ENGLISH,3rd Year,2025-11-01,financial discomfort,,incompatibilities,,hospitalization,,transition to school life,,no identified career,,,for follow-up,
,Miriam T. Lopez,BEED,4th Year,2025-11-02,sibling rivalry,,mistrust,,gender confusion,,learning difficulties,,confusion,,,conference with parent/guardian,
,Claudio E. Dela Cruz,Magdalene,Grade 5,2025-11-03,lack of quality time,,bullying,,poor health,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Gloria F. Villanueva,Bernadette,Grade 2,2025-11-04,parental pressure,,peer pressure,,low self-esteem,,laziness,,change of interest,,,for assessment,
,Alberto R. Mendoza,St. Nicholas,Kinder,2025-11-05,lack of quality time,,adjustment difficulties,,psychological disturbances,,difficult subjects,,undecided,,,for follow-up,
,Isabel L. Cruz,Margaret,Grade 4,2025-11-06,sibling rivalry,,boy-girl relationship,,physical disabilities,,failing marks,,no identified career,,,conference with parent/guardian,
,Ricardo B. Aquino,BS-IT,1st Year,2025-11-07,parent-child misunderstanding,,incompatibilities,,stress,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Teresa V. Palacios,BS-TM,2nd Year,2025-11-08,financial discomfort,,mistrust,,hospitalization,,transition to school life,,parents choice,,,for assessment,
,Felipe N. Santos,BS-MA,3rd Year,2025-11-09,parental pressure,,bullying,,gender confusion,,learning difficulties,,change of interest,,,for follow-up,
,Marcela E. Villanueva,Maxwell,Grade 3,2025-11-10,parent-child misunderstanding,,peer pressure,,poor health,,teacher/s,,undecided,,,conference with parent/guardian,
,Nestor M. Dela Cruz,BEED,4th Year,2025-11-11,financial discomfort,,adjustment difficulties,,low self-esteem,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Ana F. Reyes,Barachiel,Grade 6,2025-11-12,sibling rivalry,,boy-girl relationship,,psychological disturbances,,difficult subjects,,confusion,,,for assessment,
,Evangeline T. Lopez,Bernadette,Grade 2,2025-11-13,lack of quality time,,incompatibilities,,physical disabilities,,failing marks,,parents choice,,,for follow-up,
,Salvador P. Villanueva,Magdalene,Grade 5,2025-11-14,parental pressure,,mistrust,,stress,,misbehavior,,change of interest,,,conference with parent/guardian,
,Antonio B. Palacios,BS-IT,1st Year,2025-11-15,sibling rivalry,,bullying,,hospitalization,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Carlos V. Mendoza,St. Nicholas,Kinder,2025-11-16,financial discomfort,,peer pressure,,gender confusion,,learning difficulties,,no identified career,,,for assessment,
,Jocelyn F. De La Cruz,Margaret,Grade 4,2025-11-17,parent-child misunderstanding,,adjustment difficulties,,poor health,,teacher/s,,confusion,,,for follow-up,
,Luciano R. Lopez,Maxwell,Grade 3,2025-11-18,lack of quality time,,boy-girl relationship,,low self-esteem,,laziness,,parents choice,,,conference with parent/guardian,
,Maria P. Reyes,BS-TM,2nd Year,2025-11-19,parental pressure,,incompatibilities,,psychological disturbances,,difficult subjects,,change of interest,,,for follow-up,
,Joaquín M. Aquino,BS-MA,3rd Year,2025-11-20,parent-child misunderstanding,,mistrust,,physical disabilities,,failing marks,,undecided,,,conference with parent/guardian,
,Patricia G. Villanueva,BSBA MM,4th Year,2025-11-21,financial discomfort,,bullying,,stress,,misbehavior,,no identified career,,,conference with adviser/subject teacher,
,Victor E. Santos,Agatha,Grade 1,2025-11-22,sibling rivalry,,peer pressure,,hospitalization,,transition to school life,,confusion,,,for assessment,
,Angela R. Mendoza,Magdalene,Grade 5,2025-11-23,lack of quality time,,adjustment difficulties,,gender confusion,,learning difficulties,,parents choice,,,for follow-up,
,Antonio L. Diaz,Barachiel,Grade 6,2025-11-24,parental pressure,,boy-girl relationship,,poor health,,teacher/s,,change of interest,,,conference with parent/guardian,
,Maria T. Villar,St. Nicholas,Kinder,2025-11-25,lack of quality time,,incompatibilities,,low self-esteem,,laziness,,undecided,,,conference with adviser/subject teacher,
,Carlos J. Perez,BS-P,1st Year,2025-11-26,sibling rivalry,,mistrust,,psychological disturbances,,difficult subjects,,no identified career,,,for assessment,
,Adela M. Bautista,Sofia,Grade 2,2025-11-27,parent-child misunderstanding,,bullying,,physical disabilities,,failing marks,,confusion,,,for follow-up,
,Ramon A. Torres,BS-TM,2nd Year,2025-11-28,financial discomfort,,peer pressure,,stress,,misbehavior,,parents choice,,,conference with parent/guardian,
,Lucia S. Panganiban,BS-MA,3rd Year,2025-11-29,parental pressure,,adjustment difficulties,,hospitalization,,transition to school life,,change of interest,,,conference with adviser/subject teacher,
,Renato V. Santos,BSBA MM,4th Year,2025-11-30,parent-child misunderstanding,,boy-girl relationship,,gender confusion,,learning difficulties,,undecided,,,for assessment,
,Isabel F. Villamor,Margaret,Grade 4,2025-12-01,financial discomfort,,incompatibilities,,poor health,,teacher/s,,no identified career,,,for follow-up,
,Santiago R. Mendoza,Magdalene,Grade 5,2025-12-02,sibling rivalry,,mistrust,,low self-esteem,,laziness,,confusion,,,conference with parent/guardian,
,Carmen H. Ortega,Maxwell,Grade 3,2025-12-03,lack of quality time,,bullying,,psychological disturbances,,difficult subjects,,parents choice,,,conference with adviser/subject teacher,
,Eduardo P. Alonzo,St. Nicholas,Kinder,2025-12-04,parental pressure,,peer pressure,,physical disabilities,,failing marks,,change of interest,,,for assessment,
,Benedicta L. De Leon,Agatha,Grade 1,2025-12-05,sibling rivalry,,adjustment difficulties,,stress,,misbehavior,,undecided,,,for follow-up,
,Roberto T. Aquino,BS-P,1st Year,2025-12-06,financial discomfort,,boy-girl relationship,,hospitalization,,transition to school life,,no identified career,,,conference with parent/guardian,
,Lydia M. Dizon,Sofia,Grade 2,2025-12-07,parent-child misunderstanding,,incompatibilities,,gender confusion,,learning difficulties,,confusion,,,conference with adviser/subject teacher,
,Carlos D. Reyes,Barachiel,Grade 6,2025-12-08,lack of quality time,,mistrust,,poor health,,teacher/s,,parents choice,,,for assessment,
,Rosalinda A. Camacho,BS-TM,2nd Year,2025-12-09,parental pressure,,bullying,,low self-esteem,,laziness,,change of interest,,,for follow-up,
,Javier F. Esteban,BS-MA,3rd Year,2025-12-10,parent-child misunderstanding,,peer pressure,,psychological disturbances,,difficult subjects,,undecided,,,conference with parent/guardian,
,Geraldine P. Velasco,BSBA MM,4th Year,2025-12-11,financial discomfort,,adjustment difficulties,,physical disabilities,,failing marks,,no identified career,,,conference with adviser/subject teacher,
,Felipe G. Santiago,Margaret,Grade 4,2025-12-12,sibling rivalry,,boy-girl relationship,,stress,,misbehavior,,confusion,,,for assessment,
,Raquel R. Vargas,Magdalene,Grade 5,2025-12-13,lack of quality time,,incompatibilities,,hospitalization,,transition to school life,,parents choice,,,for follow-up,
,Gerardo M. Ramos,Maxwell,Grade 3,2025-12-14,parental pressure,,mistrust,,gender confusion,,learning difficulties,,change of interest,,,conference with parent/guardian,
,Nina A. Cruz,St. Nicholas,Kinder,2025-12-15,lack of quality time,,bullying,,poor health,,teacher/s,,undecided,,,conference with adviser/subject teacher,
,Eduardo S. Jacinto,BS-P,1st Year,2025-12-16,sibling rivalry,,peer pressure,,low self-esteem,,laziness,,no identified career,,,for assessment,
,Marian J. Perez,BE-Ed,2nd Year,2025-12-17,parent-child misunderstanding,,adjustment difficulties,,psychological disturbances,,difficult subjects,,confusion,,,for follow-up,
,Victor L. Soriano,BS-MA,3rd Year,2025-12-18,financial discomfort,,boy-girl relationship,,physical disabilities,,failing marks,,parents choice,,,conference with parent/guardian,
,Claudia G. Roxas,BSBA MM,4th Year,2025-12-19,parental pressure,,incompatibilities,,stress,,misbehavior,,change of interest,,,conference with adviser/subject teacher,
,Rodolfo F. Natividad,Sofia,Grade 2,2025-12-20,parent-child misunderstanding,,mistrust,,hospitalization,,transition to school life,,undecided,,,for assessment,
,Jovita P. Luna,Magdalene,Grade 5,2025-12-21,financial discomfort,,bullying,,gender confusion,,learning difficulties,,no identified career,,,for follow-up,
,Felicia T. Villanueva,Agatha,Grade 1,2025-12-22,sibling rivalry,,peer pressure,,poor health,,teacher/s,,confusion,,,conference with parent/guardian,
,Gregorio R. Bautista,St. Thomas,Kinder,2025-12-23,lack of quality time,,adjustment difficulties,,low self-esteem,,failing marks,,parents choice,,,conference with adviser/subject teacher,
,Juliana K. Aguilar,Margaret,Grade 4,2025-12-24,parental pressure,,boy-girl relationship,,psychological disturbances,,misbehavior,,change of interest,,,for assessment,
,Emilio V. Molina,BE-Ed,2nd Year,2025-12-25,sibling rivalry,,incompatibilities,,physical disabilities,,transition to school life,,undecided,,,for follow-up,
,Sophia T. Baluyot,BS-MA,3rd Year,2025-12-26,financial discomfort,,mistrust,,stress,,learning difficulties,,no identified career,,,conference with parent/guardian,
,Manuel J. Mendoza,BS-P,1st Year,2025-12-27,parent-child misunderstanding,,bullying,,hospitalization,,teacher/s,,confusion,,,conference with adviser/subject teacher,
,Ana G. Lopez,BSBA MM,4th Year,2025-12-28,lack of quality time,,peer pressure,,gender confusion,,laziness,,undecided,,,for assessment,
,Andres B. De Leon,Maxwell,Grade 3,2025-12-29,parental pressure,,incompatibilities,,physical disabilities,,difficult subjects,,no identified career,,,for follow-up,
,Luis T. Zaldivar,Magdalene,Grade 5,2025-12-30,parent-child misunderstanding,,mistrust,,stress,,failing marks,,confusion,,,conference with parent/guardian,
,Bernadette S. Rodriguez,St. Thomas,Kinder,2025-12-31,financial discomfort,,bullying,,hospitalization,,misbehavior,,parents choice,,,conference with adviser/subject teacher,
,Bernardo R. Santos,Barachiel,Grade 6,2026-01-01,sibling rivalry,,peer pressure,,gender confusion,,transition to school life,,change of interest,,,for assessment,
,Ferdinand J. Cruz,Sofia,Grade 2,2026-01-02,lack of quality time,,adjustment difficulties,,poor health,,learning difficulties,,undecided,,,for follow-up,
,Nina F. Rivas,BS-P,1st Year,2026-01-03,parental pressure,,boy-girl relationship,,low self-esteem,,teacher/s,,no identified career,,,conference with parent/guardian,
,Marilyn L. Abad,BE-Ed,2nd Year,2026-01-04,lack of quality time,,incompatibilities,,psychological disturbances,,laziness,,confusion,,,conference with adviser/subject teacher,
,Alberto M. Salvador,BS-MA,3rd Year,2026-01-05,sibling rivalry,,mistrust,,physical disabilities,,difficult subjects,,parents choice,,,for assessment,
,Victor A. Narvaez,BSBA MM,4th Year,2026-01-06,parent-child misunderstanding,,bullying,,stress,,failing marks,,change of interest,,,for follow-up,
,Rita E. Dumlao,Margaret,Grade 4,2026-01-07,financial discomfort,,peer pressure,,hospitalization,,misbehavior,,undecided,,,conference with parent/guardian,
